time,paw,flow,vol,pmus,pID,segment_id,global_segment_id,segment_range
50.02,8.37216540393152,-0.0270447036699292,-0.0073797318738997,-0.09995371,0,0,P0_S0,50.0-70.0s
50.1,8.31797299220963,-0.023178068472977,-0.0083828834668845,-0.09774834,0,0,P0_S0,50.0-70.0s
50.18,8.39369717465524,-0.0236143632447976,-0.0094441206561047,-0.08993897,0,0,P0_S0,50.0-70.0s
50.26,8.33032756772213,-0.0261815573813776,-0.0105900339827984,-0.07744215,0,0,P0_S0,50.0-70.0s
50.34,8.41926997064707,-0.0184371680004799,-0.0118286362182461,-0.06172457,0,0,P0_S0,50.0-70.0s
50.42,8.37789203057502,-0.0392869270372891,-0.013149812424101,-0.04463093,0,0,P0_S0,50.0-70.0s
50.5,8.33706325089763,-0.0187124094233884,-0.0145257426207066,-0.02816744,0,0,P0_S0,50.0-70.0s
50.58,8.48126368444017,-0.017894503520832,-0.0159138857200853,-0.01426633,0,0,P0_S0,50.0-70.0s
50.66,8.36995023490611,-0.0176383653859982,-0.0172620378587507,-0.00455912,0,0,P0_S0,50.0-70.0s
50.74,8.41175235261839,-0.0135240081333057,-0.0185147490626313,-0.00018509,0,0,P0_S0,50.0-70.0s
50.82,8.41181986006572,-0.0107646145205909,-0.0195899293993246,-0.01355157,0,0,P0_S0,50.0-70.0s
50.9,8.24959499455436,-0.0117884709065476,-0.020206727960973,-0.05936907,0,0,P0_S0,50.0-70.0s
50.98,8.36652441125971,0.002696074914915,-0.0202940629250917,-0.09648882,0,0,P0_S0,50.0-70.0s
51.06,8.2813606440323,-0.0111054769119976,-0.0202687162741287,-0.09903926,0,0,P0_S0,50.0-70.0s
51.14,8.26972749999965,0.020570956736067,-0.0203230215182134,-0.09157348,0,0,P0_S0,50.0-70.0s
51.22,8.29973830044525,-0.0073883801509106,-0.0205182876994731,-0.07777851,0,0,P0_S0,50.0-70.0s
51.3,8.21092942686269,-0.0154366928593562,-0.0208972207734608,-0.05975452,0,0,P0_S0,50.0-70.0s
51.38,8.38949840697673,-0.0050396500785069,-0.0214594359753435,-0.04024548,0,0,P0_S0,50.0-70.0s
51.46,8.28905218912386,-0.0042868706112932,-0.0221663263288573,-0.02222149,0,0,P0_S0,50.0-70.0s
51.54,8.2712438467708,-0.0154941405352326,-0.0229521961160717,-0.00842652,0,0,P0_S0,50.0-70.0s
51.62,8.30052732831393,0.011078771042773,-0.0237122707389775,-0.02041718,0,0,P0_S0,50.0-70.0s
51.7,7.97146574872066,0.0079186857468761,-0.0232115130787845,-0.3564006,0,0,P0_S0,50.0-70.0s
51.78,7.58130421970539,0.027256340154826,-0.0217066344139296,-0.864031,0,0,P0_S0,50.0-70.0s
51.86,7.15643834446128,0.0068599192432288,-0.020119458852442,-1.37457596,0,0,P0_S0,50.0-70.0s
51.94,6.77571075561693,0.0398734546583573,-0.0185765224157032,-1.8508664,0,0,P0_S0,50.0-70.0s
52.02,6.34800525713058,0.0051016709884132,-0.0170476581290494,-2.31279244,0,0,P0_S0,50.0-70.0s
52.1,6.14685065143522,0.0707871185684277,-0.0154986846520695,-2.76867364,0,0,P0_S0,50.0-70.0s
52.18,11.5396619573621,0.883618303312408,0.0366198288883062,-3.22000553,0,0,P0_S0,50.0-70.0s
52.26,15.1189967314107,1.14750226422002,0.124247054853319,-3.66889803,0,0,P0_S0,50.0-70.0s
52.34,15.7571090172492,1.07843660247251,0.212901777716761,-4.11779053,0,0,P0_S0,50.0-70.0s
52.42,16.3343981961432,0.990422861894642,0.295446628718857,-4.50426761,0,0,P0_S0,50.0-70.0s
52.5,16.8165769997104,0.876035283014076,0.370776254928393,-4.33673202,0,0,P0_S0,50.0-70.0s
52.58,17.6342394026774,0.738368019038053,0.435648673818794,-3.60451899,0,0,P0_S0,50.0-70.0s
52.66,16.2422485103138,0.180949626545847,0.488941544131727,-2.85905607,0,0,P0_S0,50.0-70.0s
52.74,10.5852346446433,-0.739319258219315,0.445467840804246,-2.14607236,0,0,P0_S0,50.0-70.0s
52.82,10.4076933371631,-0.671119234542671,0.389041845398732,-1.42439092,0,0,P0_S0,50.0-70.0s
52.91,10.3159104804153,-0.621456869889285,0.329983187371081,-0.57312851,0,0,P0_S0,50.0-70.0s
52.99,10.1150700370399,-0.579872456528393,0.281124011855907,-0.10311536,0,0,P0_S0,50.0-70.0s
53.07,9.61464157991375,-0.494442404790251,0.238099742796835,-0.081411,0,0,P0_S0,50.0-70.0s
53.15,9.19263747284383,-0.413325807127213,0.201503407819388,-0.06665699,0,0,P0_S0,50.0-70.0s
53.23,9.09494689688724,-0.36194112484927,0.170552481361212,-0.05,0,0,P0_S0,50.0-70.0s
53.31,8.91253153120294,-0.297774305898973,0.144473346169773,-0.03334301,0,0,P0_S0,50.0-70.0s
53.39,8.91644838455707,-0.261107883282736,0.122558120257143,-0.018589,0,0,P0_S0,50.0-70.0s
53.47,8.75398447946426,-0.227360790280796,0.104175053912219,-0.00742354,0,0,P0_S0,50.0-70.0s
53.55,8.62755888257546,-0.171638384722468,0.0887732132695447,-0.00112224,0,0,P0_S0,50.0-70.0s
53.63,8.56507366568672,-0.160713629468352,0.075885868465056,-0.00351118,0,0,P0_S0,50.0-70.0s
53.71,8.56175509405794,-0.139674897917311,0.0652612800774321,-0.04063093,0,0,P0_S0,50.0-70.0s
53.79,8.51589556887189,-0.0940918949360284,0.0567735599671235,-0.08644843,0,0,P0_S0,50.0-70.0s
53.87,8.46728607379447,-0.0848500855679633,0.0499304640301656,-0.09994965,0,0,P0_S0,50.0-70.0s
53.95,8.46826269821003,-0.0685335415469995,0.0440881971460922,-0.09597639,0,0,P0_S0,50.0-70.0s
54.03,8.48649599108711,-0.0410321422319766,0.0389278123161912,-0.08613974,0,0,P0_S0,50.0-70.0s
54.11,8.37822706176853,-0.0491738546813267,0.0342710867830296,-0.07169419,0,0,P0_S0,50.0-70.0s
54.19,8.37092312452969,-0.0595457845661571,0.0299943954807451,-0.05448197,0,0,P0_S0,50.0-70.0s
54.27,8.39088645928759,-0.0312373259477969,0.0260233420400622,-0.03669816,0,0,P0_S0,50.0-70.0s
54.35,8.27742740691455,-0.0405891364493443,0.0223248779640069,-0.02061074,0,0,P0_S0,50.0-70.0s
54.43,8.40728018549082,-0.049983135442853,0.0188972300957736,-0.00827134,0,0,P0_S0,50.0-70.0s
54.51,8.42273977646241,-0.0347711464123213,0.0157589793538112,-0.0012536,0,0,P0_S0,50.0-70.0s
